Qual sua idade?,Qual é o seu gênero?,Antes de conhecer a MusicDot você tinha algum conhecimento musical?,Você tem uma matrícula ativa da MusicDot?,Você assina o plano Semestral ou Anual?,Você pediu para fazer um teste da MusicDot antes de se matricular?,Qual é o seu principal objetivo com aprendizagem musical? (Pode selecionar mais de uma opção),Qual dessas categorias te atraiu no 1º momento? (Pode selecionar mais de uma opção),Você está atualmente fazendo aulas de que instrumento?,Qual o nível do curso que você está fazendo?,Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Repertório],Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Professor],Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Exercícios],Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Material de apoio],Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Qualidade dos vídeos],Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Didática],Como você avalia a variedade de estilos musicais para os cursos da MusicDot?,"Com relação aos recursos da MusicDot, que nota você daria para: [Acompanhamento dos professores pelo fórum]","Com relação aos recursos da MusicDot, que nota você daria para: [Tempo de resposta no fórum]","Com relação aos recursos da MusicDot, que nota você daria para: [Postar um vídeo ou áudio no fórum]","Com relação aos recursos da MusicDot, que nota você daria para: [Usar aplicativo da MusicDot]","Com relação aos recursos da MusicDot, que nota você daria para: [Download dos materiais das aulas]",Quais são os pontos negativos em se estudar na MusicDot?,Quais são os pontos positivos em estudar na MusicDot? ,"Em uma escala de 0 a 10, o quanto você recomendaria a MusicDot a um amigo(a) ou colega?",Qual a melhor forma de te avisarmos sobre novos lançamentos de cursos e funcionalidades da plataforma?,Quais foram as suas primeiras impressões em relação a MusicDot? (Pode selecionar mais de uma opção),O que te motiva acompanhar a MusicDot pelas redes sociais ? (Pode selecionar mais de uma opção),"Hoje se você fosse aprender algum instrumento musical, qual seria o principal objetivo ? (Pode selecionar mais de uma opção)",Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Preço],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Diversas opções de pagamento],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Suporte online para esclarecimentos de dúvidas],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Material impresso],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Acesso Vitalício],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Conteúdo dos cursos],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Didática],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Planos oferecidos],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Estilos musicais variados],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Reputação da escola],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Indicação de um amigo],Você sabia que existe a possibilidade de testar a MusicDot?,Você gostaria que a gente entrasse em contato pelo e-mail para oferecer um teste da MusicDot?,Qual plano você havia contratado?,Por quanto tempo ficou na plataforma?,Há quanto tempo você saiu da plataforma?,Porque você deixou de ser aluno da MusicDot? (Pode selecionar mais de uma opção),Gostaria de dar mais detalhes sobre sua saída?,Você estudaria novamente na MusicDot?,"Você gostaria que a gente entrasse em contato pelo e-mail para oferecer um teste da MusicDot, para você ver as novidades desde que saiu?","Em uma escala de 0 a 10, o quanto você recomendaria a MusicDot a um amigo(a) ou colega?.1",Como conheceu a MusicDot? (Pode selecionar mais de uma opção),Poderia dar mais detalhes de como conheceu a gente?,Você acompanha a MusicDot em alguma rede social ou meio? Qual? (Pode selecionar mais de uma opção),Você fez algum acampamento de música?,Quando fez o acampamento de música você já assinava a MusicDot?,Poderia falar pra gente o que te motivou a fazer o acampamento?,Quer deixar algum comentário final pra equipe da MusicDot?
de 55 a 64 anos,Mulher,2,Não,,,,,,,,,,,,,,,,,,,,,,,"É um canal no Youtube sobre aprendizagem musical, É uma plataforma de cursos avulsos de música","Quero aperfeiçoar o que já sei através dos conteúdos, Gosto de acompanhar alguns conteúdos produzidos","Tocar/cantar na igreja, Quero melhorar minhas habilidades musicais",Média,Média,Alta,Média,Alta,Alta,Alta,Média,Alta,Alta,Alta,Sim,Não,,,,,,,,,"Youtube, Pesquisando no Google",gogle,Youtube,Não,Não fiz o acampamento,,
de 35 a 44 anos,Homem,3,Sim,Anual,"Não, eu não sabia que havia a possibilidade de testar",Passatempo,"Teclado, Piano, Canto",Teclado,Básico,5 - Excelente,5 - Excelente,4,4,5 - Excelente,5 - Excelente,4.0,Não uso/Não sei opiniar,Não uso/Não sei opiniar,5 - Nenhuma dificuldade/ Adorei,3,5 - Nenhuma dificuldade/ Adorei,Ainda com pouco de insegurança quanto ao progresso dos estudos. ,Material muito bom e a didática excelente. ,10.0,"""Sininho"" de avisos da plataforma, Grupo de Telegram",,,,,,,,,,,,,,,,,,,,,,,,,Indicação de influenciadores / youtubers/ podcast,Nerdologia ,Youtube,Não,Não fiz o acampamento,,Plano de estudos mais detalhado no início dos estudos. 
de 25 a 34 anos,Homem,0,Não,,,,,,,,,,,,,,,,,,,,,,,É um canal no Youtube sobre aprendizagem musical,Quero aperfeiçoar o que já sei através dos conteúdos,Tocar/cantar na igreja,Muito baixa,Muito baixa,Muito baixa,Muito baixa,Muito alta,Muito alta,Alta,Muito baixa,Muito alta,Muito alta,Muito baixa,Sim,Sim,,,,,,,,,"Youtube, Facebook",Facebook ,"Youtube, Spotify / Podcast MusicDoters",Sim,Não,,
de 25 a 34 anos,Homem,4,Sim,Anual,"Não, eu não vi necessidade em experimentar","Quero melhorar minhas habilidades musicais, Quero aprender teoria musical, Aprender um novo estilo musical que não domino","Teclado, Piano, Áudio",Teclado,Básico,4,5 - Excelente,4,3,5 - Excelente,5 - Excelente,4.0,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,,,8.0,email (newsletter),,,,,,,,,,,,,,,,,,,,,,,,,Grupo Caelum Alura,Conheci quando comecei a trabalhar na alura,"Youtube, Instagram",Não,Não fiz o acampamento,,
de 25 a 34 anos,Homem,4,Não,,,,,,,,,,,,,,,,,,,,,,,"É um canal no Youtube sobre aprendizagem musical, É uma escola de música online, É uma página de conteúdo sobre música, É uma plataforma de cursos avulsos de música","Quero aperfeiçoar o que já sei através dos conteúdos, Gosto de acompanhar alguns conteúdos produzidos","Tocar/cantar na igreja, Desejo ter um grupo ou banda, Quero melhorar minhas habilidades musicais, Quero aprender teoria musical, Quero me profissionalizar na música",Muito alta,Média,Muito alta,Muito baixa,Média,Muito alta,Muito alta,Alta,Alta,Muito alta,Muito alta,Sim,Não,,,,,,,,,"Youtube, Indicação de amigos ou família, Acampamento de Música",,Youtube,Sim,Não,,
de 25 a 34 anos,Homem,0,Sim,Semestral,"Não, eu não sabia que havia a possibilidade de testar",Passatempo,Violão,Violão,Básico,3,5 - Excelente,4,4,5 - Excelente,5 - Excelente,5.0,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,,,9.0,"email (newsletter), Grupo de Telegram",,,,,,,,,,,,,,,,,,,,,,,,,"Youtube, Podcast, Indicação de influenciadores / youtubers/ podcast",Jovem nerd e Gugacast,Youtube,Não,Não fiz o acampamento,,
Abaixo de 18 anos,Mulher,1,Não,,,,,,,,,,,,,,,,,,,,,,,É uma plataforma de cursos avulsos de música,Quero aprender um instrumento musical,"Passatempo, Desejo ter um grupo ou banda, Quero melhorar minhas habilidades musicais, Quero aprender teoria musical",Alta,Alta,Alta,Alta,Média,Muito alta,Muito alta,Média,Alta,Muito alta,Muito alta,Não,Sim,,,,,,,,,Youtube,,"Youtube, Newsletter",Não,Não fiz o acampamento,,
de 25 a 34 anos,Homem,2,"Já tive, mas hoje não tenho mais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plano semestral,6 meses,Menos de 1 mês,"Não estou em condições financeiras no momento, Sinto que não aprendi tanto com a plataforma",em determinado ponto nao consegui evoluir no instrumento,Talvez,Não,6.0,Youtube,,Youtube,Não,Não fiz o acampamento,,
de 25 a 34 anos,Homem,3,Sim,Anual,Sim,"Passatempo, Quero melhorar minhas habilidades musicais, Quero aprender teoria musical, Pretendo fazer faculdade de música","Teclado, Piano, Violão, Guitarra, Canto, Teoria",Teclado,Básico,3,4,4,5 - Excelente,5 - Excelente,5 - Excelente,4.0,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,,,8.0,"email (newsletter), post no Instagram da MusicDot",,,,,,,,,,,,,,,,,,,,,,,,,"Youtube, Anúncios publicitários, Instagram, Facebook, Pesquisando no Google","Pesquisa no Google sobre curso de teclado, vídeos no youtube e anúncios",Instagram,Não,Não fiz o acampamento,,
65 anos ou mais,Homem,0,Sim,Semestral,"Não, eu não sabia que havia a possibilidade de testar","Quero melhorar minhas habilidades musicais, Quero aprender teoria musical",Piano,Piano,Básico,4,4,4,4,4,4,4.0,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,não há pontos negativos,"como estou no início, acho que todos os pontos são positivos",10.0,email (newsletter),,,,,,,,,,,,,,,,,,,,,,,,,Pesquisando no Google,"por interesse em conhecer música e piano, pesquisei no google sobre o assunto","Youtube, Facebook",Não,Não fiz o acampamento,,"Como estou com problema de saúde, tive que interromper o curso, mas dentro em breve estarei de volta."
de 25 a 34 anos,Homem,4,Não,,,,,,,,,,,,,,,,,,,,,,,"É um canal no Youtube sobre aprendizagem musical, É uma escola de música online, É uma plataforma de cursos avulsos de música","Quero aperfeiçoar o que já sei através dos conteúdos, Gosto de acompanhar alguns conteúdos produzidos","Quero melhorar minhas habilidades musicais, Quero me profissionalizar na música",Alta,Baixa,Muito alta,Muito alta,Baixa,Muito alta,Muito alta,Média,Alta,Muito alta,Muito baixa,Não,Sim,,,,,,,,,"Podcast, Indicação de influenciadores / youtubers/ podcast","Já havia assistido ao tirando música de ouvido, mas procurei conhecer o MusicDot após o episódio sobre o Queen no NerdCast.",Youtube,Sim,Não,,
de 35 a 44 anos,Homem,3,Não,,,,,,,,,,,,,,,,,,,,,,,"É um canal no Youtube sobre aprendizagem musical, É uma escola de música online",Quero aperfeiçoar o que já sei através dos conteúdos,"Tocar/cantar na igreja, Quero melhorar minhas habilidades musicais, Desejo dar aula um dia",Baixa,Baixa,Baixa,Baixa,Baixa,Baixa,Baixa,Baixa,Baixa,Baixa,Baixa,Não,Sim,,,,,,,,,Youtube,Vídeos no Youtube,Youtube,Não,Não fiz o acampamento,,
Abaixo de 18 anos,Homem,4,Sim,Semestral,"Não, eu não sabia que havia a possibilidade de testar","Desejo ter um grupo ou banda, Quero melhorar minhas habilidades musicais, Quero ter a música como profissão, Pretendo fazer faculdade de música","Violão, Baixo, Canto, Teoria, Áudio",Violão,Intermediário,3,4,4,2,3,4,4.0,4,3,2,3,4,"não ter um acompanhamento individual, apesar da grande quantidade de alunos; nao ter mais opções de materiais de apoio",O fato de ter uma música para exercitar e por a teoria em prática; aulas que são complementares à de um outro curso (aulas teóricas e práticas); didática.,9.0,"""Sininho"" de avisos da plataforma, email (newsletter)",,,,,,,,,,,,,,,,,,,,,,,,,"Youtube, Indicação de amigos ou família",Conheço algumas pessoas que adquiriram o acesso à plataforma e me falaram acerca dela.,Youtube,Sim,Não,Eu olhei o conteúdos das aulas e me interessei. Achei importante ter por alguns momentos o acompanhamento de um professor. Não participei pensando em ser aluno.,
de 45 a 54 anos,Homem,4,Sim,Anual,Sim,aprimorar conhecimentos musicais,Piano,Piano,Intermediário,1,4,4,0 - Detestei,4,4,3.0,4,5 - Nenhuma dificuldade/ Adorei,Não uso/Não sei opiniar,Não uso/Não sei opiniar,1 - Muita Dificuldade/ Horrível,"Queria que o curso continuasse (piano erudito), mas parou nas escalas e não houve prosseguimento.","Fiz outros estudos musicais (canto, teclado, teoria...)para aproveitar o material, ",7.0,"""Sininho"" de avisos da plataforma, email (newsletter)",,,,,,,,,,,,,,,,,,,,,,,,,"Pesquisando no Google, Acampamento de Música",Buscando no Google,"Youtube, Newsletter",Sim,Sim,Eu só vi um vídeo para verificar o material,"Parabéns! Apesar de que o curso de piano erudito (meu objetivo) não teve prosseguimento, os outros cursos que vi foram bons. Se, fosse aberto curso de cello, também seria legal; fica a sugestão (acho que já fiz esta sugestão por outro canal de feedback do Musicdot). Seria interessante também ter um material, tipo apostila de cada curso, para organização pessoal. Valeu!"
de 35 a 44 anos,Mulher,0,Sim,Anual,Sim,Passatempo,Guitarra,Guitarra,Básico,4,5 - Excelente,4,5 - Excelente,5 - Excelente,4,5.0,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,4,4,,,10.0,email (newsletter),,,,,,,,,,,,,,,,,,,,,,,,,Pesquisando no Google,,Instagram,Não,Não fiz o acampamento,,
de 35 a 44 anos,Homem,4,"Já tive, mas hoje não tenho mais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plano anual,1 ano,Bem mais do que 1 ano,Não estou em condições financeiras no momento,"Financeiro apenas, gosto da plataforma.",Sim,Sim,9.0,Podcast,Nerdcast,Youtube,Não,Não fiz o acampamento,,Parabéns pelo trabalho.
de 25 a 34 anos,Homem,3,Sim,Anual,"Não, eu não vi necessidade em experimentar","Passatempo, Quero melhorar minhas habilidades musicais",Baixo,Baixo,Intermediário,5 - Excelente,4,4,3,5 - Excelente,4,5.0,4,3,Não uso/Não sei opiniar,Não uso/Não sei opiniar,3,Não vejo ponto negativo,"Facilidade de uso da plataforma, professores capacitados, preço acessivel",9.0,email (newsletter),,,,,,,,,,,,,,,,,,,,,,,,,"Youtube, Indicação de influenciadores / youtubers/ podcast",Pelo Site/Podcast Jovem Nerd e Gaveta,"Youtube, Instagram, Spotify / Podcast MusicDoters",Não,Não fiz o acampamento,,
de 35 a 44 anos,Homem,1,"Já tive, mas hoje não tenho mais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plano semestral,1 ano,Por volta de 1 ano,Não tenho tempo para estudar,,Sim,Não,9.0,Youtube,,Youtube,Não,Não fiz o acampamento,,
de 45 a 54 anos,Mulher,4,"Já tive, mas hoje não tenho mais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plano semestral,6 meses,Bem mais do que 1 ano,Não me adaptei ao ensino a distância,,Sim,Sim,9.0,Indicação de amigos ou família,Na própria escola.,Youtube,Não,Não fiz o acampamento,,
de 35 a 44 anos,Mulher,2,"Já tive, mas hoje não tenho mais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plano semestral,Cancelei antes o fim de vigência do meu plano,Bem mais do que 1 ano,"Não estou em condições financeiras no momento, Não gostei tanto dos conteúdos",,Talvez,Sim,5.0,Youtube,,Não acompanho em nenhum lugar,Não,Não fiz o acampamento,,
de 55 a 64 anos,Homem,2,Sim,Anual,"Não, eu não vi necessidade em experimentar",Quero melhorar minhas habilidades musicais,"Teclado, Violão, Guitarra, Canto",Teclado,Básico,4,4,4,4,4,4,4.0,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,"Por enquanto, nenhum. ","Facilidade de acesso, poder escolher o dia e horário. Poder ouvir a explicação inúmeras vezes, e aí vai.",10.0,email (newsletter),,,,,,,,,,,,,,,,,,,,,,,,,"Youtube, Anúncios publicitários","Que eu me lembre, foi fuçando no YouTube.",Youtube,Sim,Sim,"Tentar sair da zona de conforto e melhorar minha técnica, no caso Violão.","Continuem fazendo bem feito o que vocês já fazem, pois aqui do outro lado, sempre vai ter alguém querendo aprender. Muito sucesso a todos."
de 18 a 24 anos,Homem,2,Não,,,,,,,,,,,,,,,,,,,,,,,É uma página de conteúdo sobre música,Gosto de acompanhar alguns conteúdos produzidos,"Quero melhorar minhas habilidades musicais, Quero aprender teoria musical, Quero me profissionalizar na música",Média,Média,Alta,Muito baixa,Média,Muito alta,Muito alta,Alta,Alta,Média,Média,Não,Não,,,,,,,,,Youtube,"Assiste um dos vídeos da série, tirando de ouvido ",Youtube,Sim,Não,,
de 25 a 34 anos,Homem,0,"Já tive, mas hoje não tenho mais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plano anual,Mais de 1 ano,Menos de 3 meses,Já aprendi tudo o que eu queria,,Sim,Não,10.0,Pesquisando no Google,"Prla pesquisa google, sem ser anuncio, prefiro nao usar eles",Youtube,Não,Não fiz o acampamento,,
de 55 a 64 anos,Homem,1,Não,,,,,,,,,,,,,,,,,,,,,,,É um canal no Youtube sobre aprendizagem musical,Quero aperfeiçoar o que já sei através dos conteúdos,Quero melhorar minhas habilidades musicais,Média,Média,Alta,Média,Muito alta,Média,Muito alta,Baixa,Média,Muito alta,Alta,Sim,Não,,,,,,,,,Youtube,,Youtube,Não,Não fiz o acampamento,,
de 35 a 44 anos,Homem,2,Não,,,,,,,,,,,,,,,,,,,,,,,"É um canal no Youtube sobre aprendizagem musical, É uma escola de música online, É uma página de conteúdo sobre música","Gosto de ficar por dentro das novidades do mundo musical, Quero aperfeiçoar o que já sei através dos conteúdos","Tocar/cantar na igreja, Quero melhorar minhas habilidades musicais, Quero aprender teoria musical",Baixa,Média,Alta,Baixa,Muito alta,Muito alta,Média,Muito alta,Muito alta,Média,Baixa,Sim,Sim,,,,,,,,,"Youtube, Pesquisando no Google",No YouTube,Youtube,Não,Não fiz o acampamento,Não fiz,
de 55 a 64 anos,Mulher,3,"Já tive, mas hoje não tenho mais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plano anual,Cancelei antes o fim de vigência do meu plano,Bem mais do que 1 ano,"Não tenho tempo para estudar, Não estou em condições financeiras no momento, Não existe material impresso, Sinto que não aprendi tanto com a plataforma, Depois do curso de vocês me matriculei em mais dois e não tive sucesso",Não,Talvez,Não,7.0,"Anúncios publicitários, Pesquisando no Google",Estava a procura de um curso de teclado para aprender mais do que o pouco que já sei...aí encontrei vocês,Não acompanho em nenhum lugar,Não,Não fiz o acampamento,,"O curso é bom, eu que não me adaptei muito bem"
de 35 a 44 anos,Mulher,3,Não,,,,,,,,,,,,,,,,,,,,,,,É uma escola de música online,"Quero aprender um instrumento musical, Gosto de acompanhar alguns conteúdos produzidos",Quero melhorar minhas habilidades musicais,Muito alta,Muito alta,Alta,Alta,Muito alta,Muito alta,Muito alta,Baixa,Muito alta,Alta,Baixa,Não,Não,,,,,,,,,"Youtube, Pesquisando no Google",Procurando reviews de piano digital no google.,"Youtube, Instagram, Facebook",Sim,Não,Enriquecer meu conhecimento sobre as áreas da música.,Todos são extremamente carinhosos e atenciosos com todas as pessoas.
de 35 a 44 anos,Homem,1,Sim,Anual,"Não, eu não sabia que havia a possibilidade de testar","Passatempo, Quero melhorar minhas habilidades musicais, Quero aprender teoria musical","Violão, Guitarra, Teoria",Violão,Básico,1,3,3,2,2,2,3.0,4,4,Não uso/Não sei opiniar,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,"nao existe uma forma de ganhar o interesse do aluno, nesse sentido se aproxima de uma escola qualquer. Outro ponto negativo eh que o aluno tem de ser extremamente disciplinado na modalidade ead, ate mais do que em qualquer outra modalidade.",a relação de custo-beneficio eh muito boa. ,7.0,"Youtube da MusicDot, Grupo de Telegram",,,,,,,,,,,,,,,,,,,,,,,,,"Youtube, Grupo Caelum Alura","eu vi uns videos no youtube quando estava estudando por conta, dai descobri que era uma escola online. ",Youtube,Não,Não fiz o acampamento,,"acho a plataforma muito boa e desejo sucesso na continuidade! Espero que tenha cada vez mais modalidades, incluindo flauta transversal. "
de 18 a 24 anos,Homem,2,Sim,Anual,"Não, eu não vi necessidade em experimentar",Quero melhorar minhas habilidades musicais,Teoria,Guitarra,Intermediário,4,5 - Excelente,4,4,5 - Excelente,5 - Excelente,5.0,4,4,Não uso/Não sei opiniar,3,4,A dependência pela prática digital.,"Preços, acessibilidade para assistir as aulas quando e onde quisermos e a variedade de conteudos.",10.0,"Youtube da MusicDot, post no Instagram da MusicDot",,,,,,,,,,,,,,,,,,,,,,,,,Youtube,Através do uma live de guitarra no Youtube.,"Youtube, Instagram, Facebook, Spotify / Podcast MusicDoters",Sim,Sim,A aquisição de novos conhecimentos e experiências,Gostaria muito que desenvolvessem um curso de Produção Musical
65 anos ou mais,Homem,4,Sim,Anual,"Não, eu não sabia que havia a possibilidade de testar","Passatempo, Quero melhorar minhas habilidades musicais, Quero aprender teoria musical","Teclado, Piano",Teclado,Intermediário,3,4,2,1,3,4,3.0,4,4,Não uso/Não sei opiniar,4,5 - Nenhuma dificuldade/ Adorei,Não ensina música e sim decorar musica usa. Deveria ensinar atraves do pentagrama nas claves de Sol e Fa.ndo cifras,"Professor bom, possibilidade de aprender teoria musical",0.0,email (newsletter),,,,,,,,,,,,,,,,,,,,,,,,,Anúncios publicitários,Sou cliente do Teclacenter e eles me indicaram,Youtube,Não,Não fiz o acampamento,Não sei o que é acampamento de musica.,Todo foi dito
de 35 a 44 anos,Homem,0,Sim,Anual,"Não, eu não sabia que havia a possibilidade de testar","Passatempo, Tocar/cantar na igreja",Violão,Teclado,Intermediário,4,4,4,4,4,4,5.0,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,Não uso/Não sei opiniar,3,3,Os cursos tendem a dar saltos muito grandes. Chega um momento que fica muito difícil. Creio que devesse ter tipo workbooks entre um curso e outro para podermos praticar mais antes de avançar para um novo módulo.,a variendade de instrumentos e assuntos.,10.0,"""Sininho"" de avisos da plataforma, email (newsletter)",,,,,,,,,,,,,,,,,,,,,,,,,Pesquisando no Google,"Comprei um violão para fazer aulas pelo Youtube, mas senti necessidade de uma sequência mais elaborada de estudo, por isso me inscrevi na Musicdot, para não ter que ficar pulando aleatoriamente de tutoriais no Youtube.","Youtube, Instagram, Newsletter",Sim,Sim,"Para aprender mais sobre música. Na verdade, eu tentei participar, mas só consegui ver alguns pedaços de alguns episódios. Foi meio corrido para mim.",
de 35 a 44 anos,Mulher,2,"Já tive, mas hoje não tenho mais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plano anual,Mais de 1 ano,Por volta de 1 ano,Terminei teclado e queria flauta transversal,,Sim,Sim,10.0,Pesquisando no Google,"Procurando métodos de estudo vi as aulas do Pedro Lopes, aí foi amor a primeira vista.",Youtube,Não,Não fiz o acampamento,,"A melhor plataforma que já vi, professores que respondem nossas dúvidas e não ficam escondendo melhores meios para estudar e aprender realmente."
de 35 a 44 anos,Homem,2,Sim,Anual,"Não, eu não vi necessidade em experimentar","Desejo ter um grupo ou banda, Quero melhorar minhas habilidades musicais, Quero ter a música como profissão",Teclado,Teclado,Intermediário,3,3,3,3,3,3,5.0,2,2,2,3,3,Por enquanto nenhuma,Ter a praticidade de estar na hora e no lugar onde eu quero,10.0,email (newsletter),,,,,,,,,,,,,,,,,,,,,,,,,Youtube,Vendo um vídeo pelo youtube,"Youtube, Instagram",Não,Não fiz o acampamento,Não fiz nenhum,Continuem sempre atualizando os cursos
de 45 a 54 anos,Homem,0,Sim,Anual,"Não, eu não sabia que havia a possibilidade de testar","Passatempo, Desejo ter um grupo ou banda","Baixo, Bateria",Bateria,Intermediário,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5.0,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,O valor. ,"Professores, didática, repertorio",9.0,email (newsletter),,,,,,,,,,,,,,,,,,,,,,,,,Youtube,Assistindo aos videos no Youtube,"Youtube, Instagram, Facebook",Não,Não fiz o acampamento,Não Fiz,
de 35 a 44 anos,Mulher,4,Sim,Anual,"Não, eu não sabia que havia a possibilidade de testar","Passatempo, Quero melhorar minhas habilidades musicais","Teclado, Piano, Violão, Guitarra, Baixo, Teoria",Teoria,Intermediário,5 - Excelente,5 - Excelente,5 - Excelente,2,5 - Excelente,5 - Excelente,5.0,4,5 - Nenhuma dificuldade/ Adorei,Não uso/Não sei opiniar,Não uso/Não sei opiniar,5 - Nenhuma dificuldade/ Adorei,,,8.0,email (newsletter),,,,,,,,,,,,,,,,,,,,,,,,,Youtube,"Foi pelas sugestões do próprio Youtube (vídeo do ""Tirando de Ouvido"", no caso)","Instagram, Spotify / Podcast MusicDoters",Sim,Não,"Curiosidade, apenas (e não foi por causa dele que assinei)",Gosto muito da plataforma e espero que ela cresça ainda mais tanto com relação a mais cursos disponibilizados quanto mais alunos para que vocês tenham o retorno esperado (e merecido).
65 anos ou mais,Homem,1,Sim,Anual,"Não, eu não sabia que havia a possibilidade de testar",Passatempo,Teclado,Teclado,Básico,3,5 - Excelente,4,5 - Excelente,5 - Excelente,5 - Excelente,3.0,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,"Negativo para o meu objetivo,para outros pode ser até muito positivo. Muita música pop estrangeira, pouca coisa nacional.","Muito forte para mim, o que não vi em outros cursos,o que me faz gostar muito do curso. Começar realmente do zero, usando um vocabulário do dia a dia, sem termos técnicos, O aluno tem mais facilidade em aprender o que é um tom, semitom, um colcheia sem ouvir estes termos o que apavora qualquer iniciante. Suponho, ainda não cheguei lá, ele ouvirá tudo isso quando já estiver familiarizado  com estes termos. A maneira sutil como as novidades vão aparecendo, como um exemplo de muitos eu poderia citar a palavra acorde, até o momento no estágio que estou ainda não ouvi nenhuma vez esta palavra, mas sei que estamos caminhando por etapas para quando se falar esse nome já estaremos dominando os acordes não prática. Enfim acho o curso muito bem aplicado, tudo em seu tempo. ",10.0,email (newsletter),,,,,,,,,,,,,,,,,,,,,,,,,Youtube,"Há dois anos quando estava para completar os meus 70 anos, estava procurando algo para preencher meu tempo, na década dos meus 60 havia feitos alguns cursos. Me veio a ideia de fazer um Inglês ou tocar um instrumento, coisa que achava que nunca faria por não ter esse dom. Decidi pelo instrumento e pelo teclado, depois de fuçar muito a internet comecei com um professor particular, nesse ano e meio, aprendi alguma coisa, mas achei que sozinho em casa aprenderia melhor, a minha intenção é ouvir as musicas que gosto, tocadas por mim. Não tenho outro plano que não seja esse. Quero um dia ler fluente minhas partituras, para tocar musicas, não pretendo cantar e nem acompanhar ninguém cantando e nem tão pouco com conjunto. Por isso estou no curso, sei que vou ter muita dificuldade em usar a mão esquerda, já senti isso antes e estou começando agora no curso. Quis pegar o curso do inicio justamente para conhecer melhor as partituras e o próprio Teclado. Esse inicio gradativo que esse curso oferece acompanhando a música só com a nota raiz do acorde, está sendo muito bom para mim, espero um dia poder realizar este sonho. Apesar da mão esquerda ser muito teimosa. ",Youtube,Não,Não fiz o acampamento,,"Quero dar os parabéns ao Professor Pedro e dizer que gosto muito da sua didática. Estou gostando muito do curso e devagar e sempre vamos tentando, quem sabe uma dia a gente reúne a mulher os filhos e netos para ""grande concerto""."
